text,label
Quelles sont les meilleures options d'hôtels à New York City?,book_hotel
Que peut-on voir dans la ville de San Francisco ?,travel_suggestion
Est-ce que vous pouvez me donner des informations sur les vols directs entre Los Angeles et Londres ?,book_flight
Combien coûterait un billet aller-retour entre Paris et Rome ?,book_flight
Quels sont les meilleurs hôtels à proximité de Times Square ?,book_hotel
Que faites-vous ce soir,out_of_scope
Où se trouve le plus grand lac dans le monde,out_of_scope
Je veux une chambre double avec vue sur la mer et un lit king size dans un hôtel situé près de Times Square,book_hotel
combien sont les frais de loyers en France,out_of_scope
"Que signifie ""dollar"" en français",translate
Monter par avion de Londres à Tokyo,book_flight
Je veux réserver une chambre à hôtel à Paris,book_hotel
Combien coûte une bouteille d'eau en Inde,out_of_scope
comment puis-je réserver un hôtel à Londres,book_hotel
que doit-il y avoir à faire à Los Angeles ce week-end,travel_suggestion
combien coûtent les billets d'avion de Chicago à Las Vegas,book_flight
Je veux réserver un billet pour un avion qui part de Paris à 10h du matin,book_flight
Combien coûte un billet aller-retour de New York à Los Angeles,book_flight
Combien coûte le billet d'avion de New York à Paris,book_flight
Que devrais-je faire si ma valise ne parvenait pas à l'aéroport,lost_luggage
Combien coûterait un ticket aller/retour vers New York City,book_flight
Où est le plus grand lac américain?,out_of_scope
Combien coûte le billet d'avion entre Boston et San Francisco,book_flight
"Que signifie ""détente"" en anglais",translate
Je voudrais réserver un hôtel dans la ville d'Austin,book_hotel
Combien coûte un billet pour partir de San Francisco vers Paris ?,book_flight
Je veux voir si il y a des vols disponibles pour partir de Boston vers Rome,book_flight
Je veux réserver un vol pour Boston,book_flight
Donnez-moi des suggestions de voyages,travel_suggestion
Combien coûte un billet d'avion pour Los Angeles,book_flight
Où se trouve le plus grand lac des États-Unis,out_of_scope
Quelle est la capitale de l'Alaska,out_of_scope
Quels sont les pays qui ont fait partie de l'Union soviétique,out_of_scope
Quelles sont les villes importantes de l'Inde,out_of_scope
Quel est le nom du président américain actuellement en fonction,out_of_scope
Quel est le prix moyen d'un appartement à Miami,out_of_scope
Quel est le meilleur restaurant à Boston,out_of_scope
Quel est le meilleur musée à Washington DC,out_of_scope
Combien coûterait un ticket aller/retour entre Los Angeles et San Francisco avec Southwest Airlines ?,book_flight
"Que signifie ""hola"" en espagnol",translate
Est-ce qu'il y a des restrictions sur les sacs à main au Japon,carry_on
"Que signifie l'expression ""départ"" en français",translate
Quand je prendrai l'avion ?,flight_status
Pourquoi ne peuvent-ils pas avoir plus de places assises,out_of_scope
Dans quel mois est Noël,out_of_scope
Dans quelle ville se trouve le plus grand lac du monde,out_of_scope
Avez-vous une idée sur comment voyager vers l'Australie ?,travel_suggestion
Quels sont les endroits où il faut aller en Italie ?,travel_suggestion
Je veux réserver une chambre d’hôte dans un hôtel près de l’aéroport de Los Angeles,book_hotel
Je voudrais savoir combien coute un ticket aller/retour vers Tokyo,book_flight
Quelle est la meilleure chaîne de télévision?,out_of_scope
Que peut-on voir à San Francisco en deux jours,travel_suggestion
Où se trouve la plus grande mosquée de l'Amérique,out_of_scope
Dans quel état se situe le Grand Canyon,out_of_scope
Quelles sont les villes les plus chères des États-Unis,out_of_scope
J'ai besoin d'un hôtel à New York pour la semaine prochaine,book_hotel
Où se trouve le plus grand lac en Amérique du Nord,out_of_scope
Je voudrais réserver deux places pour la nuit du 1er mai à l'hôtel Hilton Garden Inn à New York,book_hotel
Que se passe-t-il si je ne suis pas arrivée à l'aéroport avant minuit,out_of_scope
Je souhaite réserver un billet pour aller à Paris,book_flight
Dans quel pays se trouve le mont Fuji,out_of_scope
Je veux réserver deux places sur un avion de Los Angeles à Miami,book_flight
combien coute une pizza dans la ville de San Francisco,out_of_scope
comment faire pour que ma femme me quitte,out_of_scope
quel est le meilleur film de Star Wars,out_of_scope
Cherchez un hôtel à Los Angeles,book_hotel
Soyez plus précis concernant votre destination lorsqu’il s’agit de voyager vers l’Europe,out_of_scope
Que signifient ces lettres : LC,out_of_scope
Pourquoi je ne peux pas trouver de billets pour un match de football à Wembley Stadium ?,out_of_scope
Que peut-on voir dans les environs de New York,travel_suggestion
Comment puis-je aller au musée d'art moderne de New York,travel_suggestion
Où se trouve le centre commercial de Boston,out_of_scope
Est-ce que j'ai besoin d'un visa pour visiter Washington DC,out_of_scope
Comment puis-je réserver un vol direct vers Paris avec American Airlines ?,book_flight
"Que font dire ces mots : ""I love you""",translate
Dites moi quel est le meilleur endroit où je peux aller avec mes enfants pendant les vacances,travel_suggestion
Combien dure un voyage en avion depuis Los Angeles jusqu'à San Francisco,out_of_scope
Comment appellez vous l'homme qui a inventé le téléphone portable,out_of_scope
Quand commence l'année civile,out_of_scope
Comment je peux réserver une place dans l'avion de New York à Los Angeles,book_flight
Quel est le prix du ticket pour partir de Boston vers Chicago,book_flight
Quelles sont les heures de départ et d'arrivée de mon vol,flight_status
Quelle est la date de ma prochaine réservation,out_of_scope
Quelle est la date de mon prochain voyage,out_of_scope
Que faites-ils dans la série Star Trek,out_of_scope
Pourquoi les gens sont-ils si gentils,out_of_scope
Je veux réserver un vol direct de Londres à Los Angeles,book_flight
Que peut-on faire dans cette ville ?,travel_suggestion
Où est situé le centre-ville ?,out_of_scope
Comment puis-je réserver un billet pour aller de New York à Londres,book_flight
"Que signifie ""bonjour"" en allemand",translate
Dites moi quel est le prix d'un billet aller/retour entre San Francisco et Seattle,book_flight
Est-ce qu'un avion va partir vers New York ?,flight_status
Quel est le meilleur moyen de se rendre en Australie depuis New York,travel_suggestion
Je voudrais savoir si vous pouvez me donner des informations sur les restrictions de cabine pour les vols internationaux,carry_on
Est-ce que les avions sont encore disponibles pour mon retour,out_of_scope
Je veux réserver un vol aller/retour New York - Los Angeles,book_flight
Est-ce qu'Air Canada propose des services de transport de bagages à main ?,carry_on
Où se trouve le plus grand musée d'art moderne au monde ?,out_of_scope
Pourquoi les oiseaux ne peuvent pas parler,out_of_scope
Je veux partir de San Francisco vers Boston en avion,book_flight
Je veux prendre un avion depuis Boston jusqu'à Miami,book_flight
Je souhaite voyager au Mexique pendant deux semaines. Quelles sont les meilleures destinations?,travel_suggestion
Je suis allé à Paris il y a quelques jours. Je voulais savoir si vous avez des suggestions pour ce que j'ai pu voir ou faire,travel_suggestion
Je recherche un hôtel à Londres avec un parking gratuit,book_hotel
Comment je peux réserver une chambre dans le centre ville de San Francisco,book_hotel
Que peut-il être fait avec ce ticket ?,out_of_scope
Pourriez vous m'aider à trouver un avion direct de Londres à Los Angeles,book_flight
Comment peut-il devenir une citoyenne américaine,out_of_scope
Je veux savoir si les États-Unis ont des lois sur le mariage homosexuel,out_of_scope
Est-ce qu'il y a des restrictions de bagage à main pour American Airlines ?,carry_on
Monter au sommet de Mont Blanc,out_of_scope
Quels sont les pays qui font partie de l'UE,out_of_scope
Quels sont les langues parlées en Allemagne,out_of_scope
Quels sont les pays voisins de l'Italie,out_of_scope
Où se situe le Mont Blanc,out_of_scope
Comment puis-je réserver un vol aller/retour entre Paris et New York,book_flight
Est-ce que les vols de Southwest Airline ont une limite de poids pour les bagages à main?,carry_on
Pourquoi je ne peux pas utiliser mon téléphone pendant le décollage et l'atterrissage?,out_of_scope
Est-ce que je peux avoir un billet pour New York City,book_flight
"Pourquoi les États-Unis sont-ils appelés ""les Etats Unis""",out_of_scope
Combien coûterait un vol direct de Londres à Sydney,book_flight
J'ai besoin d'un hôtel près de l'aéroport de Los Angeles,book_hotel
Je recherche un hôtel à proximité de l'aéroport de Toronto,book_hotel
Je souhaite réserver un billet d'avion pour aller de Hong Kong à Pékin,book_flight
Pourquoi la France n'est pas dans l'Union européenne ?,out_of_scope
Comment puis-je obtenir un billet pour un vol vers New York,book_flight
Je souhaite prendre un avion de Boston à Los Angeles,book_flight
traduit le texte suivant : «je suis heureuse d'avoir trouvé ce site»,translate
réserver un vol de New York à Paris le 1er janvier,book_flight
combien coûterait un voyage de San Francisco à Los Angeles?,out_of_scope
Comment je peux réserver des billets pour les matchs de football,out_of_scope
Quel est le nom de la capitale de l'Allemagne,out_of_scope
Je veux aller à San Francisco par avion. Quels sont les prix disponibles,book_flight
Je voudrais une chambre double au Grand Hotel Kempinski Genève,book_hotel
Combien coûterait un vol de Boston à Los Angeles en première classe,book_flight
Est-ce qu'il y aura des alertes de voyage pour la Chine ?,travel_alert
Auquel hôtel devrais-je rester à New York,book_hotel
Combien dure un match de football américain,out_of_scope
Je voudrais un ticket pour l'avion de New York à Los Angeles,book_flight
Pourquoi ne peut-on pas faire des livres électroniques gratuits,out_of_scope
combien coûtent les billets pour un match des Lakers ?,out_of_scope
où se trouve le plus haut gratte-ciel du monde ?,out_of_scope
où se trouve le plus grand parc national du monde ?,out_of_scope
Pour combien d'années l'homme a-t-il vécu sur Mars ?,out_of_scope
Je voudrais voir le prix du billet pour un vol de Boston à San Francisco,book_flight
Combien d'années il y a entre la naissance de Jésus et celle de Mahomet,out_of_scope
Directions pour aller à l'aéroport de New York,out_of_scope
Où se trouve le mont Fujiyama,out_of_scope
Que sont les noms des trois frères musulmans qui ont fondé l'Islam,out_of_scope
Quelle était la première langue écrite dans le monde,out_of_scope
Quels sont les pays où on parle le français,out_of_scope
Quelles sont les capitales des États-Unis,out_of_scope
Que vos conseils pour visiter la ville de New York,travel_suggestion
Comment je peux réserver des billets pour la route New York - Los Angeles,book_flight
J'ai besoin d'un hôtel dans le centre ville de New York,book_hotel
Comment puis-je obtenir des informations sur l'état du vol,flight_status
Quelle est la date de naissance de John Lennon ?,out_of_scope
Comment appeler un chat en français,translate
Je veux réserver un hôtel à New York pour les vacances d'hiver,book_hotel
Que peut-on trouver à faire dans San Francisco en janvier,travel_suggestion
Avez-vous des suggestions sur ce qu'il faut visiter en Californie,travel_suggestion
Je souhaite réserver deux places pour le vol de San Francisco vers Chicago,book_flight
Comment appelle-t-on la ville d'Amsterdam en néerlandais,translate
Quel est le nombre de jours que vous avez passés sur cette planète,out_of_scope
comment j'ai pu trouver un hôtel à Los Angeles,book_hotel
ou sont situées les îles Galápagos,out_of_scope
Je veux voir les prix pour aller de Londres à Rome,book_flight
Je voudrais savoir si il existe des vols directs entre San Francisco et Tokyo,book_flight
Je voudrais savoir quel est le meilleur hôtel à proximité de l'aéroport,book_hotel
Je voudrais savoir quand commence le vol,flight_status
Où se trouve ma valise,lost_luggage
J'ai perdu mon sac à dos et je ne sais pas où il se trouve,lost_luggage
Je veux voir si vous avez quelque chose à propos de mon vol,flight_status
Est-ce qu'il y a un problème avec mon vol ?,flight_status
Que se passe-t-il si j'arrive trop tard au terminal ?,out_of_scope
Je souhaite réserver un vol aller/retour de Toronto à Rome,book_flight
Pourquoi les États-Unis ont-ils envoyé des troupes au Moyen-Orient,out_of_scope
Quel est votre nom préféré dans Star Trek,out_of_scope
Combien de pays font partie de l'Union européenne,out_of_scope
Dites-moi les dates de Noël cette année,out_of_scope
"Comment dit-on ""I am hungry"" en français",translate
Je veux réserver un hôtel pour le week-end prochain,book_hotel
Je veux voir si il existe des vols directs entre New York et Los Angeles,book_flight
Je voudrais savoir si vous avez des vols directs entre Washington DC et Las Vegas,book_flight
Je veux savoir si il existe des restrictions de bagage à main pour United Airlines,carry_on
Je souhaite obtenir des informations sur les restrictions de bagage à main pour Delta Airlines,carry_on
Je suis intéressé par les restrictions de bagage à main pour Alaska Airlines,carry_on
Combien coûte un ticket pour partir de Paris vers Los Angeles,book_flight
Pourquoi les avions ne sont pas plus rapides que les trains,out_of_scope
Est-ce que vous pouvez m'aider à trouver des hébergements à New York City,book_hotel
Que peut-il faire si il n'y a plus de place dans son sac à dos,out_of_scope
Je suis en train de planifier un voyage avec mes amis et nous avons besoin d'hébergement,book_hotel
"Que signifient les lettres «A», «B», «C» sur mon billet ?",out_of_scope
J'ai besoin d'un avion vers Chicago et retour dans deux semaines,book_flight
Dites moi comment on dit «billet» en français,translate
Ou se trouve le mont Fuji au Japon,out_of_scope
Comment je peux réserver un billet d’avion pour Boston ?,book_flight
Est-ce qu'un avion peut être utilisé comme arme nucléaire,out_of_scope
Combien coûte la nuit dans l'hôtel Hilton Garden Inn à Chicago,out_of_scope
Comment appelle-t-on le président américain,out_of_scope
Pourquoi les gens parlent-ils anglais aux États-Unis ?,out_of_scope
Est-ce que je peux prendre mon sac à dos sur le vol?,carry_on
Je souhaite réserver un billet pour un vol de San Francisco à Sydney,book_flight
Que devrais-je faire si mon téléphone portable ne fonctionne pas,out_of_scope
Pourquoi les gens sont-ils venus dans cette ville,out_of_scope
Dans quelle rue se trouve le musée des arts,out_of_scope
Pourquoi les billets sont si chers,out_of_scope
Comment je peux faire pour me rendre invisible ?,out_of_scope
Où est la plus grande ville du monde,out_of_scope
Que faites-vous maintenant ?,out_of_scope
Dans quel pays est situé le Mont Blanc,out_of_scope
Auquel endroit j'aurais pu voir des dinosaures,out_of_scope
En quoi consiste le tourisme culturel,out_of_scope
Que vont-elles servir ces pains ?,out_of_scope
Dans quel temps se déroule Star Wars,out_of_scope
"Que signifie ""départ"" sur un ticket d'avion",out_of_scope
Quelle est la meilleure manière de voyager entre New York et Washington DC,travel_suggestion
Je voudrais réserver un hôtel à New York,book_hotel
Est-ce que je peux prendre une valise en plastique dans l’avion,carry_on
"Comment dire ""I love you"" en français",translate
"Que signifie ""coup de foudre"" en anglais",translate
Combien coûte la nourriture dans les avions américains,out_of_scope
Puis-je avoir un billet pour New York vers Paris le 1er mai prochain,book_flight
combien coute un ticket aller simple vers Paris,book_flight
pouvez vous me donner les informations sur le vol BA123,flight_status
"comme je ne parle pas anglais, pouvez-vous me traduire cette phrase",translate
Où est situé le musée national de l'Australie ?,out_of_scope
Donnez moi les heures d'ouverture de la bibliothèque publique de Londres,out_of_scope
Que peut-on trouver à faire à Paris pendant trois jours ?,travel_suggestion
Est-ce qu'il y a des restrictions aux entrées en Italie actuellement ?,travel_alert
Avez-vous des suggestions pour ce week-end ?,travel_suggestion
Quel est le nombre d'équipes en NBA,out_of_scope
combien y a t il d'équipe en NFL,out_of_scope
Quelle équipe joue au football américain à Los Angeles,out_of_scope
Quels sont les deux clubs de baseball de New York,out_of_scope
Quelles sont les villes où se trouvent les Yankees,out_of_scope
Quels sont les deux clubs de hockey de Montréal,out_of_scope
Pour combien de temps durera ma visite en Chine,out_of_scope
Combien coûte un billet aller-retour pour Boston,book_flight
Pouvez-vous me donner des conseils sur ce qu'il faut faire à Londres,travel_suggestion
pourquoi les gens ne sont-ils pas heureux,out_of_scope
peut-être que tu as vu ce film avant moi,out_of_scope
Peut-être que tu sais quel est le nom du réalisateur de Star Wars,out_of_scope
Que deviennent les gens qui ne parlent pas anglais dans un avion américain ?,out_of_scope
Dans quel pays se situe la capitale française,out_of_scope
Que peut-on faire si on ne trouve pas son sac à dos,lost_luggage
Pourquoi mes bagages ont été perdu,lost_luggage
Dans quel hôtel je vais dormir ce soir,book_hotel
Dites-moi quel est l'âge d'un enfant âgé de 10 ans et demi,out_of_scope
Comment appellez-vous les gens qui vivent dans un village,out_of_scope
Que se passe-t-il au Canada,out_of_scope
comme dit-on «london» en allemand,translate
Avez-vous des suggestions pour visiter San Francisco,travel_suggestion
Que peut-il se passer si j'ai trop de bagages à main avec Delta Airlines,carry_on
Dites-moi quel est le prix moyen d'un hôtel à New York,out_of_scope
Pourquoi mes bagages n'ont pas été livrés,lost_luggage
Comment puis-je réserver un vol vers la Chine,book_flight
Quel est le prix du billet d'avion entre New York et Los Angeles,book_flight
Je veux voir si il y a des restrictions sur les bagages à Dubai,carry_on
Peut-on prendre son sac à dos lors d'un vol intérieur aux États-Unis,carry_on
Quelle est la taille minimale requise pour un sac à main,carry_on
Quelles sont les règles relatives aux bagages à main,carry_on
Quelle est la meilleure façon de se rendre à San Francisco depuis Seattle,travel_suggestion
Que peut-on faire à Las Vegas,travel_suggestion
Quand commence la saison de football américain,out_of_scope
Je voudrais savoir si je peux emporter mes bagages dans le compartiment supérieur ou non,carry_on
Dites-moi quel est le meilleur hôtel à Paris,book_hotel
Combien coûte un billet aller simple vers Los Angeles depuis Boston,book_flight
Que devrais-je faire si j'oublie mon sac à dos dans l'avion ?,lost_luggage
Je voudrais une chambre double avec vue sur la mer à Miami,book_hotel
Quand commence la saison NBA,out_of_scope
Pourquoi l'Angleterre s'appelle Angleterre,out_of_scope
Quelles sont les villes jumelées avec Paris,out_of_scope
"Quel est le nom d'une ville qui commence par ""L"" et dont le mot français signifie ""lac""",out_of_scope
Quelle est la meilleure façon de se rendre d’Athènes à Mykonos ?,travel_suggestion
Je veux savoir quel est le meilleur hôtel pour les vacances prochaines,book_hotel
Que signifie «l'américain» en espagnol,translate
Je voudrais réserver un billet pour New York City en septembre,book_flight
Où se trouve la gare centrale de Londres,out_of_scope
Avez-vous des suggestions sur les lieux où j'ai pu visiter à Los Angeles,travel_suggestion
Pourquoi je ne peux pas choisir ma propre place ?,out_of_scope
"Que signifie ""non stop"" dans les vols",out_of_scope
Que peut-on faire avec ce billet ?,out_of_scope
Que signifient ces caractères ?,out_of_scope
Pourquoi l'hélicoptère n'est pas utilisé comme moyen de transport courant,out_of_scope
Je veux réserver un siège pour le vol de Los Angeles à New York,book_flight
Comment appellez vous la capitale d'Allemagne,out_of_scope
Dans quels pays parlent ils anglais,out_of_scope
Où sont situés les Alpes,out_of_scope
Quelles sont les villes les plus visitées par les Américains,out_of_scope
Quel est le nom de la ville où se situe Disneyland,out_of_scope
"Je veux savoir ce que cela signifie ""en route"" en anglais",translate
Quel est le nombre de personnes qui peuvent être sur un avion,out_of_scope
Est-ce qu’un enfant doit payer la même tarif que l’adulte,out_of_scope
Je veux partir de San Francisco et retourner à Seattle,book_flight
Puis-je prendre ma valise avec moi sur l'avion,carry_on
Comment appelle-t-on la capitale de la France en français,translate
Que peut-on voir dans l'île de Pâques,travel_suggestion
Je veux un hôtel pour la semaine prochaine en Floride,book_hotel
Où se trouve le plus grand lac d'eau douce sur Terre ?,out_of_scope
Pourquoi la France n’est-elle pas en Amérique du Nord?,out_of_scope
Je veux réserver un vol de Washington DC à Atlanta. Est-ce que cela fonctionne ?,book_flight
Est-ce que vous avez des suggestions sur ce qui y a à faire à Seattle ?,travel_suggestion
Est-ce que vous savez où se trouve le parc national Yosemite ?,out_of_scope
Combien coûte un billet d'avion aller-retour entre San Francisco et Seattle,book_flight
Auquel hôtel vous conseillez que je reste à Miami,book_hotel
Que se passe-t-il si j'oublie mon sac à dos sur le bus ?,out_of_scope
Dans quels pays la langue officielle est le français,out_of_scope
Je souhaite réserver un billet pour le vol de Washington DC à Atlanta,book_flight
Avez-vous des suggestions sur ce qui peut être fait à Boston,travel_suggestion
Est-ce que vous pouvez m’aider à traduire cette phrase : « Je suis heureux »,translate
Je veux un avion qui va d'Amsterdam à Londres,book_flight
Je veux réserver un billet d'avion pour partir de San Francisco vers Los Angeles,book_flight
Que se passe-t-il si je ne peux pas trouver mon sac à main au bureau d'enregistrement ?,lost_luggage
Quelles sont les restrictions de bagage à main pour Air France,carry_on
Quelle est la population du Canada,out_of_scope
Comment je peux aller de New York à Paris,out_of_scope
Combien coûte un ticket de train entre Washington et Boston,out_of_scope
Est-ce qu'un avion peut être plus grand que Boeing 747,out_of_scope
Mon avion va partir à 10 heures et demie,flight_status
